language,setCode,translation
Italian,LTR,Il Signore degli Anelli: Racconti della Terra di Mezzo
Japanese,LTR,
Korean,LTR,
Portuguese (Brazil),LTR,
Russian,LTR,
Spanish,LTR,El Señor de los Anillos: relatos de la Tierra Media
Chinese Simplified,M10,
Chinese Traditional,M10,
French,M10,Magic 2010
German,M10,Magic 2010
Italian,M10,Magic 2010
Japanese,M10,
Korean,M10,
Portuguese (Brazil),M10,
Russian,M10,
Spanish,M10,Magic 2010
Chinese Simplified,M11,
Chinese Traditional,M11,
French,M11,Magic 2011
German,M11,Magic 2011
Italian,M11,Magic 2011
Japanese,M11,
Korean,M11,
Portuguese (Brazil),M11,
Russian,M11,
Spanish,M11,Magic 2011
Chinese Simplified,M12,
Chinese Traditional,M12,
French,M12,Magic 2012
German,M12,Magic 2012
Italian,M12,Magic 2012
Japanese,M12,
Korean,M12,
Portuguese (Brazil),M12,
Russian,M12,
Spanish,M12,Magic 2012
Chinese Simplified,M13,
Chinese Traditional,M13,
French,M13,Magic 2013
German,M13,Magic 2013
Italian,M13,Magic 2013
Japanese,M13,
Korean,M13,
Portuguese (Brazil),M13,
Russian,M13,
Spanish,M13,Magic 2013
Chinese Simplified,M14,
Chinese Traditional,M14,
French,M14,Magic 2014
German,M14,Magic 2014
Italian,M14,Magic 2014
Japanese,M14,
Korean,M14,
Portuguese (Brazil),M14,
Russian,M14,
Spanish,M14,Magic 2014
Chinese Simplified,M15,
Chinese Traditional,M15,
French,M15,Magic 2015
German,M15,Magic 2015
Italian,M15,Magic 2015
Japanese,M15,
Korean,M15,
Portuguese (Brazil),M15,
Russian,M15,
Spanish,M15,Magic 2015
Chinese Simplified,MAT,
Chinese Traditional,MAT,
French,MAT,L'invasion des machines : le jour d'après
German,MAT,Marsch der Maschine: Der Nachhall
Italian,MAT,Marcia delle Macchine: Le conseguenze
Japanese,MAT,
Korean,MAT,
Portuguese (Brazil),MAT,
Russian,MAT,
Spanish,MAT,Marcha de las máquinas: las secuelas
Chinese Simplified,MB1,
Chinese Traditional,MB1,
French,MB1,Mystery Booster
German,MB1,Mystery Booster
